(May 04, 2016 / 04:31 PM)[ERROR]{ARMI}: RemoteObjectConnectionManager.get_onConnectionFailed([error: { [Error: read ECONNRESET] code: 'ECONNRESET', errno: 'ECONNRESET', syscall: 'read' }, ])
(May 04, 2016 / 04:31 PM)[ERROR]{ARMI}: RemoteObjectConnectionManager.get_onConnectionFailed([error: { [Error: read ECONNRESET] code: 'ECONNRESET', errno: 'ECONNRESET', syscall: 'read' }, ])
(May 04, 2016 / 04:31 PM)[ERROR]{ARMI}: RemoteObjectConnectionManager.get_onConnectionFailed([error: { [Error: read ECONNRESET] code: 'ECONNRESET', errno: 'ECONNRESET', syscall: 'read' }, ])
(May 04, 2016 / 04:31 PM)[ERROR]{ARMI}: RemoteObjectConnectionManager.get_onConnectionFailed([error: { [Error: read ECONNRESET] code: 'ECONNRESET', errno: 'ECONNRESET', syscall: 'read' }, ])
(May 04, 2016 / 04:31 PM)[ERROR]{ARMI}: RemoteObjectConnectionManager.get_onConnectionFailed([error: { [Error: read ECONNRESET] code: 'ECONNRESET', errno: 'ECONNRESET', syscall: 'read' }, ])
(May 04, 2016 / 04:31 PM)[ERROR]{ARMI}: RemoteObjectConnectionManager.get_onConnectionFailed([error: { [Error: read ECONNRESET] code: 'ECONNRESET', errno: 'ECONNRESET', syscall: 'read' }, ])
(May 04, 2016 / 04:31 PM)[ERROR]{ARMI}: RemoteObjectConnectionManager.get_onConnectionFailed([error: { [Error: read ECONNRESET] code: 'ECONNRESET', errno: 'ECONNRESET', syscall: 'read' }, ])
(May 04, 2016 / 04:31 PM)[ERROR]{ARMI}: RemoteObjectConnectionManager.get_onConnectionFailed([error: { [Error: read ECONNRESET] code: 'ECONNRESET', errno: 'ECONNRESET', syscall: 'read' }, ])
(May 04, 2016 / 04:31 PM)[ERROR]{ARMI}: RemoteObjectConnectionManager.get_onConnectionFailed([error: { [Error: read ECONNRESET] code: 'ECONNRESET', errno: 'ECONNRESET', syscall: 'read' }, ])
(May 04, 2016 / 04:31 PM)[ERROR]{ARMI}: RemoteObjectConnectionManager.get_onConnectionFailed([error: { [Error: read ECONNRESET] code: 'ECONNRESET', errno: 'ECONNRESET', syscall: 'read' }, ])
(May 04, 2016 / 04:31 PM)[ERROR]{CUBESERVER}: WebSocket Server status: STOPPED
